ID Key,Location,Department,Directorate,Cost Centre,Grade Name,FTE,End Date,Gender,Date of Birth,Pension Scheme,Termination Reason,Date Eligible for Retirement
1,WY,WY CT1,Operations,575,HEO,0,20/12/2017,M,14/03/1956,Other,RETIREMENT,14/03/2016
2,DM,Registration Services,Operations,1470,SEO,0.49,,M,22/07/1955,Alpha,,05/06/2021
3,FY,Fylde,0,250,G6,0,31/10/2013,M,21/07/1956,Other,RETIREMENT,21/07/2016
4,PB,Registration Services,Operations,1470,HEO,0.49,29/04/2021,M,09/05/1955,Alpha,RESIGNATION,05/04/2021
5,GL,Gloucester Office,0,175,HEO,0,31/05/2014,M,31/03/1954,Other,RETIREMENT,31/03/2014
6,FY,Fylde,0,250,SEO,0,07/06/2013,M,07/06/1953,Other,RETIREMENT,07/06/2013
7,DM,Registration Services,Operations,1470,SEO+,0.46,31/01/2022,M,14/07/1954,Alpha,RETIREMENT,06/05/2020
8,DM,Registration Services,Operations,1470,HEO,0.43,,F,09/05/1956,Alpha,,05/04/2022
9,DM,Registration Services,Operations,1470,EO,0.65,,F,31/07/1955,Alpha,,05/06/2021
10,CV,Registration Services,Operations,1470,EO,0.43,05/03/2021,F,21/10/1953,Alpha,RETIREMENT,06/07/2018
11,GL,Registration Services,Operations,1470,EO,0.43,02/10/2021,M,03/10/1955,Alpha,RETIREMENT,05/08/2021
12,PL,Plymouth Office,0,400,EO,0,28/02/2014,F,19/02/1952,Other,RETIREMENT,19/02/2012
13,PL,Land Charges,Operations,725,AO,0.54,30/06/2021,F,17/04/1957,Alpha,RETIREMENT,05/03/2023
14,PL,Corp Procurement,0,1370,SEO,0,31/03/2016,M,04/10/1956,Other,RETIREMENT,04/10/2016
15,PL,Registration Services,Operations,1470,EO,0.49,15/01/2021,M,15/01/1955,Alpha,RETIREMENT,05/12/2020
16,GL,Gloucester Office,0,175,EO,0,31/01/2014,F,01/02/1956,Other,RETIREMENT,01/02/2016
17,GL,Registration Services,Operations,1470,EO,0.43,31/03/2022,F,14/04/1956,Alpha,RETIREMENT,05/03/2022
18,GL,GL CT5,0,175,HEO,0,30/11/2016,F,25/10/1956,Other,RETIREMENT,25/10/2016
19,GL,Registration Services,Operations,1470,EO,0.49,,M,21/12/1955,Alpha,,05/11/2021
20,GL,Registration Services,Operations,1470,HEO,0.43,29/05/2020,M,07/03/1955,Alpha,RETIREMENT,05/02/2021
21,PL,IT SERVICE SUPPORT,0,1860,HEO,0,17/05/2017,F,17/07/1957,Other,RETIREMENT,17/07/2017
22,PL,Land Charges,Operations,725,AA,0.49,30/09/2021,F,12/10/1952,Alpha,RETIREMENT,06/05/2015
23,NM,DDAT Digital Product,DDat,1830,G6,1,,F,18/03/1957,Alpha,,05/02/2023
24,PB,Registration Services,Operations,1470,SEO,0.46,,M,22/08/1955,Alpha,,05/07/2021
25,BR,Registration Services,Operations,1470,SEO,0.61,09/09/2018,M,11/05/1957,Alpha,DEATH,05/04/2023
26,CV,Registration Services,Operations,1470,HEO,0.49,,M,04/08/1956,Alpha,,05/06/2022
27,PL,Registration Services,Operations,1470,EO,0.45,15/11/2019,F,04/06/1955,Alpha,RETIREMENT,05/04/2021
28,FY,FY P1,0,250,HEO,0,06/06/2016,M,05/06/1956,Other,RETIREMENT,05/06/2016
29,FY,Fylde,0,250,SEO,0,31/10/2013,F,16/10/1950,Other,RETIREMENT,16/10/2010
30,CV,Registration Services,Operations,1470,EO,0.49,,M,08/07/1953,Alpha,,06/07/2018
31,FY,Registration Services,Operations,1470,EO,0.43,,F,29/05/1958,Alpha,,05/04/2024
32,GL,Registration Services,Operations,1470,HEO,0.49,,M,07/06/1957,Alpha,,05/05/2023
33,GL,Registration Services,Operations,1470,EO,0.43,,F,11/11/1957,Alpha,,05/10/2023
34,GL,Registration Services,Operations,1470,EO,0.43,,F,15/11/1956,Alpha,,05/10/2022
35,WA,Registration Services,Operations,1470,HEO,0.43,,M,26/04/1958,Alpha,,05/03/2024
36,WA,Wales Office,0,550,HEO,0,30/09/2015,F,23/04/1956,Other,RETIREMENT,23/04/2016
37,PL,SYSTEMS DEVELOPMENT B5,0,1848,EO,0,06/01/2017,M,06/01/1957,Other,RETIREMENT,06/01/2017
38,PL,IS Service Delivery,0,1860,G7,0,31/08/2015,F,03/06/1955,Other,RETIREMENT,03/06/2015
39,CR,Croydon Office,0,100,EO,0,27/11/2013,F,07/10/1956,Other,RETIREMENT,07/10/2016
40,NM,SCT,Legal Services,325,EO,0,30/06/2017,F,02/11/1956,Other,RETIREMENT,02/11/2016
41,NM,NE CT5,Operations,325,HEO,0,31/01/2018,M,21/10/1956,Other,RETIREMENT,21/10/2016
42,LT,Registration Services,Operations,1470,SEO,0.46,,M,23/07/1958,Alpha,,05/06/2024
